Request_id,Pickup_point,Driver_point,Status,Request_timestamp,Drop _timestamp
846,Railwaystation,Hyderabad,Trip Completed,11/7/2016 17:46,11/7/2016 18:52
1346,Railwaystation,Hyderabad,Trip Completed,11/7/2016 23:39,12/7/2016 0:23
1474,Railwaystation,Hyderabad,Trip Completed,12/7/2016 5:13,12/7/2016 5:56
2240,Airport,Hyderabad,Trip Completed,12/7/2016 18:20,12/7/2016 18:54
3072,Railwaystation,Hyderabad,Trip Completed,13-07-2016 08:04:57,13-07-2016 08:36:37
3459,Railwaystation,Hyderabad,Trip Completed,13-07-2016 17:03:30,13-07-2016 17:31:49
3774,Railwaystation,Hyderabad,Trip Completed,13-07-2016 20:41:24,13-07-2016 21:27:29
4023,Airport,Hyderabad,Trip Completed,13-07-2016 23:58:41,14-07-2016 00:58:39
4117,Airport,Hyderabad,Trip Completed,14-07-2016 04:21:42,14-07-2016 05:07:07
4880,Railwaystation,Hyderabad,Trip Completed,14-07-2016 17:58:46,14-07-2016 19:02:42
5568,Railwaystation,Hyderabad,Trip Completed,15-07-2016 05:47:49,15-07-2016 06:25:49
5994,Railwaystation,Hyderabad,Trip Completed,15-07-2016 11:51:16,15-07-2016 12:32:12
1809,Railwaystation,Hyderabad,Trip Completed,12/7/2016 9:13,12/7/2016 10:01
2064,Railwaystation,Hyderabad,Trip Completed,12/7/2016 15:08,12/7/2016 16:14
3210,Airport,Hyderabad,Trip Completed,13-07-2016 09:47:06,13-07-2016 10:52:37
4350,Airport,Hyderabad,Trip Completed,14-07-2016 07:24:43,14-07-2016 08:22:09
4713,Airport,Hyderabad,Trip Completed,14-07-2016 13:31:24,14-07-2016 14:10:56
5629,Railwaystation,Hyderabad,Trip Completed,15-07-2016 06:33:00,15-07-2016 07:19:53
6157,Railwaystation,Hyderabad,Trip Completed,15-07-2016 16:32:51,15-07-2016 17:44:44
2030,Airport,Hyderabad,Trip Completed,12/7/2016 14:11,12/7/2016 15:02
3226,Airport,Hyderabad,Trip Completed,13-07-2016 10:00:17,13-07-2016 11:02:52
3353,Airport,Hyderabad,Trip Completed,13-07-2016 13:29:44,13-07-2016 14:09:00
4293,Airport,Hyderabad,Trip Completed,14-07-2016 06:42:36,14-07-2016 07:12:41
4936,Airport,Hyderabad,Trip Completed,14-07-2016 18:22:17,14-07-2016 19:14:36
5661,Railwaystation,Hyderabad,Trip Completed,15-07-2016 07:08:50,15-07-2016 07:59:00
5778,Airport,Hyderabad,Trip Completed,15-07-2016 08:22:03,15-07-2016 09:13:04
6425,Railwaystation,Hyderabad,Trip Completed,15-07-2016 19:46:40,15-07-2016 20:26:51
45,Railwaystation,Hyderabad,Trip Completed,11/7/2016 3:17,11/7/2016 4:09
264,Airport,Hyderabad,Trip Completed,11/7/2016 6:51,11/7/2016 7:40
1183,Airport,Hyderabad,Trip Completed,11/7/2016 21:05,11/7/2016 21:38
1536,Railwaystation,Hyderabad,Trip Completed,12/7/2016 5:59,12/7/2016 6:59
2437,Airport,Hyderabad,Trip Completed,12/7/2016 20:18,12/7/2016 21:26
2641,Railwaystation,Hyderabad,Trip Completed,12/7/2016 22:28,12/7/2016 23:05
4077,Railwaystation,Hyderabad,Trip Completed,14-07-2016 02:14:15,14-07-2016 03:13:09
4610,Airport,Hyderabad,Trip Completed,14-07-2016 10:35:14,14-07-2016 11:39:01
5066,Railwaystation,Hyderabad,Trip Completed,14-07-2016 19:31:20,14-07-2016 20:14:03
5666,Railwaystation,Hyderabad,Trip Completed,15-07-2016 07:04:55,15-07-2016 08:12:37
5923,Airport,Hyderabad,Trip Completed,15-07-2016 10:07:49,15-07-2016 10:50:50
6367,Airport,Hyderabad,Trip Completed,15-07-2016 19:04:46,15-07-2016 19:46:04
155,Airport,Hyderabad,Trip Completed,11/7/2016 5:32,11/7/2016 6:28
310,Railwaystation,Hyderabad,Trip Completed,11/7/2016 7:24,11/7/2016 8:28
607,Airport,Hyderabad,Trip Completed,11/7/2016 11:51,11/7/2016 12:42
1012,Airport,Hyderabad,Trip Completed,11/7/2016 19:15,11/7/2016 19:57
1696,Railwaystation,Hyderabad,Trip Completed,12/7/2016 8:01,12/7/2016 8:42
3076,Airport,Hyderabad,Trip Completed,13-07-2016 08:09:04,13-07-2016 09:12:19
4198,Railwaystation,Hyderabad,Trip Completed,14-07-2016 05:32:14,14-07-2016 06:45:32
4627,Airport,Hyderabad,Trip Completed,14-07-2016 11:13:19,14-07-2016 12:00:12
5289,Airport,Hyderabad,Trip Completed,14-07-2016 21:43:24,14-07-2016 22:24:13
5495,Railwaystation,Hyderabad,Trip Completed,15-07-2016 05:00:13,15-07-2016 06:02:27
6656,Railwaystation,Hyderabad,Trip Completed,15-07-2016 22:08:42,15-07-2016 22:41:18
139,Railwaystation,Hyderabad,Trip Completed,11/7/2016 5:21,11/7/2016 6:09
215,Airport,Hyderabad,Trip Completed,11/7/2016 6:15,11/7/2016 7:07
1816,Airport,Hyderabad,Trip Completed,12/7/2016 9:24,12/7/2016 10:07
2505,Railwaystation,Hyderabad,Trip Completed,12/7/2016 21:03,12/7/2016 22:14
3346,Airport,Hyderabad,Trip Completed,13-07-2016 13:01:42,13-07-2016 13:55:59
5294,Airport,Hyderabad,Trip Completed,14-07-2016 21:45:50,14-07-2016 22:16:40
6226,Railwaystation,Hyderabad,Trip Completed,15-07-2016 17:34:25,15-07-2016 18:33:13
6733,Railwaystation,Hyderabad,Trip Completed,15-07-2016 23:32:44,16-07-2016 00:37:46
1027,Railwaystation,Hyderabad,Trip Completed,11/7/2016 19:18,11/7/2016 20:24
2675,Railwaystation,Hyderabad,Trip Completed,12/7/2016 23:43,13-07-2016 00:35:12
3200,Airport,Hyderabad,Trip Completed,13-07-2016 09:39:44,13-07-2016 10:30:58
3865,Airport,Hyderabad,Trip Completed,13-07-2016 21:52:05,13-07-2016 22:21:15
4468,Airport,Hyderabad,Trip Completed,14-07-2016 08:42:46,14-07-2016 09:22:01
5163,Railwaystation,Hyderabad,Trip Completed,14-07-2016 20:34:30,14-07-2016 21:05:18
6009,Airport,Hyderabad,Trip Completed,15-07-2016 12:22:35,15-07-2016 13:25:27
6448,Railwaystation,Hyderabad,Trip Completed,15-07-2016 20:02:54,15-07-2016 20:40:45
591,Airport,Hyderabad,Trip Completed,11/7/2016 11:25,11/7/2016 12:31
709,Airport,Hyderabad,Trip Completed,11/7/2016 14:16,11/7/2016 15:03
1167,Railwaystation,Hyderabad,Trip Completed,11/7/2016 20:50,11/7/2016 21:52
2661,Railwaystation,Hyderabad,Trip Completed,12/7/2016 23:23,13-07-2016 00:27:21
2808,Airport,Hyderabad,Trip Completed,13-07-2016 05:05:16,13-07-2016 05:56:11
3258,Railwaystation,Hyderabad,Trip Completed,13-07-2016 10:12:51,13-07-2016 10:45:28
3413,Railwaystation,Hyderabad,Trip Completed,13-07-2016 15:32:01,13-07-2016 16:45:44
3939,Railwaystation,Hyderabad,Trip Completed,13-07-2016 22:26:26,13-07-2016 22:55:54
4125,Airport,Hyderabad,Trip Completed,14-07-2016 04:37:11,14-07-2016 05:46:29
4457,Airport,Hyderabad,Trip Completed,14-07-2016 08:36:24,14-07-2016 09:19:20
4728,Airport,Hyderabad,Trip Completed,14-07-2016 14:04:13,14-07-2016 15:06:40
5347,Railwaystation,Hyderabad,Trip Completed,14-07-2016 22:51:47,14-07-2016 23:53:42
6147,Airport,Hyderabad,Trip Completed,15-07-2016 16:11:02,15-07-2016 17:30:08
6496,Railwaystation,Hyderabad,Trip Completed,15-07-2016 20:33:00,15-07-2016 21:32:49
634,Airport,Hyderabad,Trip Completed,11/7/2016 12:25,11/7/2016 13:06
939,Railwaystation,Hyderabad,Trip Completed,11/7/2016 18:25,11/7/2016 19:26
2628,Railwaystation,Hyderabad,Trip Completed,12/7/2016 22:10,12/7/2016 23:25
3021,Airport,Hyderabad,Trip Completed,13-07-2016 07:33:20,13-07-2016 08:26:07
4743,Airport,Hyderabad,Trip Completed,14-07-2016 14:54:16,14-07-2016 15:39:03
4981,Airport,Hyderabad,Trip Completed,14-07-2016 18:47:42,14-07-2016 19:43:44
5367,Railwaystation,Hyderabad,Trip Completed,14-07-2016 23:35:34,15-07-2016 00:25:26
5471,Railwaystation,Hyderabad,Trip Completed,15-07-2016 04:48:57,15-07-2016 05:47:13
5988,Railwaystation,Hyderabad,Trip Completed,15-07-2016 11:48:32,15-07-2016 12:55:02
6477,Railwaystation,Hyderabad,Trip Completed,15-07-2016 20:21:26,15-07-2016 21:00:31
499,Airport,Hyderabad,Trip Completed,11/7/2016 9:39,11/7/2016 10:16
1147,Railwaystation,Hyderabad,Trip Completed,11/7/2016 20:42,11/7/2016 21:18
1410,Railwaystation,Hyderabad,Trip Completed,12/7/2016 3:14,12/7/2016 4:27
1804,Railwaystation,Hyderabad,Trip Completed,12/7/2016 9:12,12/7/2016 9:57
1949,Railwaystation,Hyderabad,Trip Completed,12/7/2016 11:32,12/7/2016 12:13
2713,Airport,Hyderabad,Trip Completed,13-07-2016 01:46:42,13-07-2016 02:37:08
2845,Airport,Hyderabad,Trip Completed,13-07-2016 05:28:29,13-07-2016 06:10:40
3943,Railwaystation,Hyderabad,Trip Completed,13-07-2016 22:35:38,13-07-2016 23:33:20
4792,Airport,Hyderabad,Trip Completed,14-07-2016 16:47:15,14-07-2016 17:34:39
5207,Railwaystation,Hyderabad,Trip Completed,14-07-2016 20:57:41,14-07-2016 21:56:21
5890,Airport,Hyderabad,Trip Completed,15-07-2016 09:43:57,15-07-2016 10:55:22
494,Airport,Hyderabad,Trip Completed,11/7/2016 9:36,11/7/2016 10:02
1485,Airport,Hyderabad,Trip Completed,12/7/2016 5:21,12/7/2016 6:35
2042,Airport,Hyderabad,Trip Completed,12/7/2016 14:30,12/7/2016 15:09
2561,Railwaystation,Hyderabad,Trip Completed,12/7/2016 21:29,12/7/2016 22:44
3813,Railwaystation,Hyderabad,Trip Completed,13-07-2016 21:06:57,13-07-2016 21:46:24
4260,Railwaystation,Hyderabad,Trip Completed,14-07-2016 06:11:51,14-07-2016 06:59:46
4395,Airport,Hyderabad,Trip Completed,14-07-2016 08:00:15,14-07-2016 08:54:39
5919,Airport,Hyderabad,Trip Completed,15-07-2016 10:03:42,15-07-2016 10:59:27
6002,Railwaystation,Hyderabad,Trip Completed,15-07-2016 12:04:15,15-07-2016 12:53:36
468,Airport,Hyderabad,Trip Completed,11/7/2016 9:20,11/7/2016 10:05
693,Railwaystation,Hyderabad,Trip Completed,11/7/2016 13:51,11/7/2016 15:01
1178,Airport,Hyderabad,Trip Completed,11/7/2016 21:05,11/7/2016 22:06
2103,Airport,Hyderabad,Trip Completed,12/7/2016 16:08,12/7/2016 17:18
2292,Railwaystation,Hyderabad,Trip Completed,12/7/2016 18:46,12/7/2016 19:23
3339,Airport,Hyderabad,Trip Completed,13-07-2016 12:40:58,13-07-2016 13:30:26
3694,Airport,Hyderabad,Trip Completed,13-07-2016 19:33:19,13-07-2016 20:35:08
4469,Airport,Hyderabad,Trip Completed,14-07-2016 08:45:13,14-07-2016 09:48:08
6432,Airport,Hyderabad,Trip Completed,15-07-2016 19:50:57,15-07-2016 20:30:05
1895,Airport,Hyderabad,Trip Completed,12/7/2016 10:20,12/7/2016 10:52
1981,Railwaystation,Hyderabad,Trip Completed,12/7/2016 12:23,12/7/2016 12:56
3744,Railwaystation,Hyderabad,Trip Completed,13-07-2016 20:28:11,13-07-2016 21:22:42
4433,Railwaystation,Hyderabad,Trip Completed,14-07-2016 08:26:32,14-07-2016 09:12:02
6039,Railwaystation,Hyderabad,Trip Completed,15-07-2016 13:11:04,15-07-2016 13:38:01
6543,Airport,Hyderabad,Trip Completed,15-07-2016 20:54:20,15-07-2016 22:12:36
110,Airport,Hyderabad,Trip Completed,11/7/2016 5:05,11/7/2016 6:06
362,Airport,Hyderabad,Trip Completed,11/7/2016 8:01,11/7/2016 9:18
666,Railwaystation,Hyderabad,Trip Completed,11/7/2016 13:02,11/7/2016 13:45
926,Airport,Hyderabad,Trip Completed,11/7/2016 18:28,11/7/2016 19:34
1180,Railwaystation,Hyderabad,Trip Completed,11/7/2016 21:01,11/7/2016 22:14
1900,Airport,Hyderabad,Trip Completed,12/7/2016 10:32,12/7/2016 11:42
2506,Airport,Hyderabad,Trip Completed,12/7/2016 21:01,12/7/2016 21:38
3064,Airport,Hyderabad,Trip Completed,13-07-2016 08:02:03,13-07-2016 08:58:46
3327,Railwaystation,Hyderabad,Trip Completed,13-07-2016 12:24:41,13-07-2016 13:23:39
3601,Airport,Hyderabad,Trip Completed,13-07-2016 18:39:00,13-07-2016 19:29:07
4768,Railwaystation,Hyderabad,Trip Completed,14-07-2016 15:39:24,14-07-2016 16:49:03
5142,Airport,Hyderabad,Trip Completed,14-07-2016 20:17:51,14-07-2016 20:48:58
5366,Railwaystation,Hyderabad,Trip Completed,14-07-2016 23:27:22,15-07-2016 00:19:50
5575,Airport,Hyderabad,Trip Completed,15-07-2016 05:53:55,15-07-2016 06:50:02
5902,Airport,Hyderabad,Trip Completed,15-07-2016 09:52:57,15-07-2016 10:37:05
6694,Railwaystation,Hyderabad,Trip Completed,15-07-2016 22:45:44,15-07-2016 23:17:53
523,Railwaystation,Hyderabad,Trip Completed,11/7/2016 9:48,11/7/2016 10:37
747,Airport,Hyderabad,Trip Completed,11/7/2016 15:53,11/7/2016 16:43
1371,Railwaystation,Hyderabad,Trip Completed,12/7/2016 0:22,12/7/2016 1:33
1553,Airport,Hyderabad,Trip Completed,12/7/2016 6:09,12/7/2016 7:09
1692,Railwaystation,Hyderabad,Trip Completed,12/7/2016 7:52,12/7/2016 9:01
2114,Airport,Hyderabad,Trip Completed,12/7/2016 16:36,12/7/2016 17:21
2742,Airport,Hyderabad,Trip Completed,13-07-2016 03:07:37,13-07-2016 03:51:35
4273,Airport,Hyderabad,Trip Completed,14-07-2016 06:17:01,14-07-2016 07:02:28
4668,Airport,Hyderabad,Trip Completed,14-07-2016 12:25:02,14-07-2016 13:34:58
5425,Airport,Hyderabad,Trip Completed,15-07-2016 02:23:56,15-07-2016 03:08:35
5488,Airport,Hyderabad,Trip Completed,15-07-2016 04:53:42,15-07-2016 06:00:16
5781,Airport,Hyderabad,Trip Completed,15-07-2016 08:35:47,15-07-2016 09:42:27
5966,Railwaystation,Hyderabad,Trip Completed,15-07-2016 10:54:27,15-07-2016 11:58:44
6122,Airport,Hyderabad,Trip Completed,15-07-2016 15:26:06,15-07-2016 16:29:40
357,Railwaystation,Hyderabad,Trip Completed,11/7/2016 8:00,11/7/2016 9:08
1068,Airport,Hyderabad,Trip Completed,11/7/2016 19:52,11/7/2016 20:48
2689,Railwaystation,Hyderabad,Trip Completed,13-07-2016 00:34:03,13-07-2016 01:49:08
2791,Airport,Hyderabad,Trip Completed,13-07-2016 04:56:20,13-07-2016 05:33:20
3321,Airport,Hyderabad,Trip Completed,13-07-2016 12:23:02,13-07-2016 13:25:14
3423,Railwaystation,Hyderabad,Trip Completed,13-07-2016 15:52:07,13-07-2016 16:50:46
3761,Railwaystation,Hyderabad,Trip Completed,13-07-2016 20:35:24,13-07-2016 21:39:02
4140,Airport,Hyderabad,Trip Completed,14-07-2016 04:48:09,14-07-2016 06:05:01
4656,Airport,Hyderabad,Trip Completed,14-07-2016 12:06:27,14-07-2016 12:49:14
4931,Railwaystation,Hyderabad,Trip Completed,14-07-2016 18:21:52,14-07-2016 18:54:03
5268,Airport,Hyderabad,Trip Completed,14-07-2016 21:29:35,14-07-2016 22:30:11
5811,Airport,Hyderabad,Trip Completed,15-07-2016 08:46:30,15-07-2016 09:26:33
6139,Railwaystation,Hyderabad,Trip Completed,15-07-2016 15:45:16,15-07-2016 16:40:41
6333,Railwaystation,Hyderabad,Trip Completed,15-07-2016 18:41:22,15-07-2016 19:53:29
773,Airport,Hyderabad,Trip Completed,11/7/2016 16:23,11/7/2016 17:21
1123,Airport,Hyderabad,Trip Completed,11/7/2016 20:20,11/7/2016 21:18
2667,Railwaystation,Hyderabad,Trip Completed,12/7/2016 23:35,13-07-2016 00:40:52
2833,Airport,Hyderabad,Trip Completed,13-07-2016 05:27:26,13-07-2016 06:19:18
3396,Airport,Hyderabad,Trip Completed,13-07-2016 14:59:08,13-07-2016 15:57:24
3590,Airport,Hyderabad,Trip Completed,13-07-2016 18:31:29,13-07-2016 19:31:56
3762,Airport,Hyderabad,Trip Completed,13-07-2016 20:38:10,13-07-2016 21:21:24
4566,Airport,Hyderabad,Trip Completed,14-07-2016 09:48:56,14-07-2016 10:22:52
4862,Airport,Hyderabad,Trip Completed,14-07-2016 17:37:44,14-07-2016 18:41:40
5564,Railwaystation,Hyderabad,Trip Completed,15-07-2016 05:41:11,15-07-2016 06:53:22
6187,Airport,Hyderabad,Trip Completed,15-07-2016 17:11:08,15-07-2016 18:08:11
6642,Airport,Hyderabad,Trip Completed,15-07-2016 22:07:14,15-07-2016 22:54:02
322,Airport,Hyderabad,Trip Completed,11/7/2016 7:31,11/7/2016 8:10
793,Airport,Hyderabad,Trip Completed,11/7/2016 17:04,11/7/2016 18:06
898,Railwaystation,Hyderabad,Trip Completed,11/7/2016 18:14,11/7/2016 19:09
1258,Airport,Hyderabad,Trip Completed,11/7/2016 21:51,11/7/2016 23:00
2832,Airport,Hyderabad,Trip Completed,13-07-2016 05:20:16,13-07-2016 06:14:07
3139,Airport,Hyderabad,Trip Completed,13-07-2016 08:54:04,13-07-2016 09:22:42
3438,Airport,Hyderabad,Trip Completed,13-07-2016 16:12:53,13-07-2016 17:13:44
3966,Railwaystation,Hyderabad,Trip Completed,13-07-2016 22:50:42,13-07-2016 23:27:43
6401,Railwaystation,Hyderabad,Trip Completed,15-07-2016 19:33:00,15-07-2016 20:16:57
204,Airport,Hyderabad,Trip Completed,11/7/2016 6:04,11/7/2016 6:44
632,Railwaystation,Hyderabad,Trip Completed,11/7/2016 12:20,11/7/2016 13:10
763,Airport,Hyderabad,Trip Completed,11/7/2016 16:19,11/7/2016 17:25
1786,Railwaystation,Hyderabad,Trip Completed,12/7/2016 9:03,12/7/2016 9:58
1968,Airport,Hyderabad,Trip Completed,12/7/2016 12:10,12/7/2016 12:49
2088,Railwaystation,Hyderabad,Trip Completed,12/7/2016 15:51,12/7/2016 17:02
2473,Railwaystation,Hyderabad,Trip Completed,12/7/2016 20:43,12/7/2016 21:20
2869,Railwaystation,Hyderabad,Trip Completed,13-07-2016 05:50:09,13-07-2016 06:27:07
3742,Railwaystation,Hyderabad,Trip Completed,13-07-2016 20:24:23,13-07-2016 20:48:05
4440,Railwaystation,Hyderabad,Trip Completed,14-07-2016 08:26:29,14-07-2016 09:00:36
5234,Airport,Hyderabad,Trip Completed,14-07-2016 21:09:47,14-07-2016 21:52:37
6354,Railwaystation,Hyderabad,Trip Completed,15-07-2016 18:59:01,15-07-2016 19:35:10
6638,Airport,Hyderabad,Trip Completed,15-07-2016 21:59:10,15-07-2016 23:13:18
84,Airport,Hyderabad,Trip Completed,11/7/2016 4:50,11/7/2016 5:26
1199,Airport,Hyderabad,Trip Completed,11/7/2016 21:17,11/7/2016 21:53
1676,Railwaystation,Hyderabad,Trip Completed,12/7/2016 7:44,12/7/2016 8:40
2774,Airport,Hyderabad,Trip Completed,13-07-2016 04:33:38,13-07-2016 05:13:54
3220,Railwaystation,Hyderabad,Trip Completed,13-07-2016 09:51:41,13-07-2016 10:24:39
3718,Railwaystation,Hyderabad,Trip Completed,13-07-2016 19:56:20,13-07-2016 20:47:17
4904,Railwaystation,Hyderabad,Trip Completed,14-07-2016 18:02:23,14-07-2016 18:58:49
6527,Railwaystation,Hyderabad,Trip Completed,15-07-2016 20:54:01,15-07-2016 21:53:29
6710,Airport,Hyderabad,Trip Completed,15-07-2016 23:02:36,16-07-2016 00:12:12
1584,Railwaystation,Hyderabad,Trip Completed,12/7/2016 6:26,12/7/2016 7:18
1966,Railwaystation,Hyderabad,Trip Completed,12/7/2016 12:05,12/7/2016 13:12
2827,Airport,Hyderabad,Trip Completed,13-07-2016 05:18:31,13-07-2016 06:18:22
2945,Railwaystation,Hyderabad,Trip Completed,13-07-2016 06:34:13,13-07-2016 07:28:05
3365,Airport,Hyderabad,Trip Completed,13-07-2016 13:47:14,13-07-2016 14:51:51
3548,Railwaystation,Hyderabad,Trip Completed,13-07-2016 18:07:42,13-07-2016 19:12:22
3753,Airport,Hyderabad,Trip Completed,13-07-2016 20:30:08,13-07-2016 21:42:32
4569,Railwaystation,Hyderabad,Trip Completed,14-07-2016 09:48:17,14-07-2016 10:49:39
6309,Railwaystation,Hyderabad,Trip Completed,15-07-2016 18:29:54,15-07-2016 19:42:21
6437,Airport,Hyderabad,Trip Completed,15-07-2016 19:53:52,15-07-2016 20:26:32
517,Railwaystation,Hyderabad,Trip Completed,11/7/2016 9:45,11/7/2016 10:24
